Date.Collected,Tube.Number,Species,Tag.Number,Colony.ID,Origin,Treatment,Gamete,Vol,Notes
20201007,1,A.pulchra,77,Apul_77,Mahana,Wild,Eggs,250uL,
20201007,2,A.pulchra,77,Apul_77,Mahana,Wild,Eggs,250uL,
20201007,3,A.pulchra,77,Apul_77,Mahana,Wild,Eggs,250uL,
20201007,4,A.pulchra,77,Apul_77,Mahana,Wild,Eggs,250uL,
20201007,5,A.pulchra,77,Apul_77,Mahana,Wild,Eggs,250uL,
20201007,6,A.pulchra,75,Apul_75,Mahana,Wild,Eggs,250uL,
20201007,7,A.pulchra,75,Apul_75,Mahana,Wild,Eggs,250uL,
20201007,8,A.pulchra,75,Apul_75,Mahana,Wild,Eggs,250uL,
20201007,9,A.pulchra,75,Apul_75,Mahana,Wild,Eggs,250uL,
20201007,10,A.pulchra,75,Apul_75,Mahana,Wild,Eggs,250uL,
20201007,11,A.pulchra,80,Apul_80,Mahana,Wild,Eggs,250uL,
20201007,12,A.pulchra,80,Apul_80,Mahana,Wild,Eggs,250uL,
20201007,13,A.pulchra,80,Apul_80,Mahana,Wild,Eggs,250uL,
20201007,14,A.pulchra,80,Apul_80,Mahana,Wild,Eggs,250uL,
20201007,15,A.pulchra,80,Apul_80,Mahana,Wild,Eggs,250uL,
20201007,16,A.pulchra,87,Apul_87,Mahana,Wild,Eggs,250uL,
20201007,17,A.pulchra,87,Apul_87,Mahana,Wild,Eggs,250uL,
20201007,18,A.pulchra,87,Apul_87,Mahana,Wild,Eggs,250uL,
20201007,19,A.pulchra,87,Apul_87,Mahana,Wild,Eggs,250uL,
20201007,20,A.pulchra,87,Apul_87,Mahana,Wild,Eggs,250uL,
20201007,21,A.pulchra,201,Apul_201,Mahana,Wild,Eggs,250uL,
20201007,22,A.pulchra,201,Apul_201,Mahana,Wild,Eggs,250uL,
20201007,23,A.pulchra,201,Apul_201,Mahana,Wild,Eggs,250uL,
20201007,24,A.pulchra,201,Apul_201,Mahana,Wild,Eggs,250uL,
20201007,25,A.pulchra,201,Apul_201,Mahana,Wild,Eggs,250uL,
20201007,26,A.pulchra,202,Apul_202,Mahana,Wild,Eggs,250uL,
20201007,27,A.pulchra,202,Apul_202,Mahana,Wild,Eggs,250uL,
20201007,28,A.pulchra,202,Apul_202,Mahana,Wild,Eggs,250uL,
20201007,29,A.pulchra,202,Apul_202,Mahana,Wild,Eggs,250uL,
20201007,30,A.pulchra,202,Apul_202,Mahana,Wild,Eggs,250uL,
20201007,31,A.pulchra,203,Apul_203,Mahana,Wild,Eggs,250uL,
20201007,32,A.pulchra,203,Apul_203,Mahana,Wild,Eggs,250uL,
20201007,33,A.pulchra,203,Apul_203,Mahana,Wild,Eggs,250uL,
20201007,34,A.pulchra,203,Apul_203,Mahana,Wild,Eggs,250uL,
20201007,35,A.pulchra,203,Apul_203,Mahana,Wild,Eggs,250uL,
20201007,36,A.pulchra,241,Apul_241,Mahana,Wild,Eggs,250uL,
20201007,37,A.pulchra,241,Apul_241,Mahana,Wild,Eggs,250uL,
20201007,38,A.pulchra,241,Apul_241,Mahana,Wild,Eggs,250uL,
20201007,39,A.pulchra,241,Apul_241,Mahana,Wild,Eggs,250uL,
20201007,40,A.pulchra,241,Apul_241,Mahana,Wild,Eggs,250uL,
20201007,41,A.pulchra,75,Apul_75,Mahana,Wild,Sperm,1000uL,
20201007,42,A.pulchra,75,Apul_75,Mahana,Wild,Sperm,1000uL,
20201007,43,A.pulchra,75,Apul_75,Mahana,Wild,Sperm,1000uL,
20201007,44,A.pulchra,75,Apul_75,Mahana,Wild,Sperm,1000uL,
20201007,45,A.pulchra,75,Apul_75,Mahana,Wild,Sperm,1000uL,
20201007,46,A.pulchra,77,Apul_77,Mahana,Wild,Sperm,1000uL,
20201007,47,A.pulchra,77,Apul_77,Mahana,Wild,Sperm,1000uL,
20201007,48,A.pulchra,77,Apul_77,Mahana,Wild,Sperm,1000uL,
20201007,49,A.pulchra,77,Apul_77,Mahana,Wild,Sperm,1000uL,
20201007,50,A.pulchra,77,Apul_77,Mahana,Wild,Sperm,1000uL,
20201007,51,A.pulchra,80,Apul_80,Mahana,Wild,Sperm,1000uL,
20201007,52,A.pulchra,80,Apul_80,Mahana,Wild,Sperm,1000uL,
20201007,53,A.pulchra,80,Apul_80,Mahana,Wild,Sperm,1000uL,
20201007,54,A.pulchra,80,Apul_80,Mahana,Wild,Sperm,1000uL,
20201007,55,A.pulchra,80,Apul_80,Mahana,Wild,Sperm,1000uL,
20201007,56,A.pulchra,87,Apul_87,Mahana,Wild,Sperm,1000uL,
20201007,57,A.pulchra,87,Apul_87,Mahana,Wild,Sperm,1000uL,
20201007,58,A.pulchra,87,Apul_87,Mahana,Wild,Sperm,1000uL,
20201007,59,A.pulchra,87,Apul_87,Mahana,Wild,NA,NA,Not enough left from crosses
20201007,60,A.pulchra,87,Apul_87,Mahana,Wild,NA,NA,Not enough left from crosses
20201007,61,A.pulchra,201,Apul_201,Mahana,Wild,Sperm,1000uL,
20201007,62,A.pulchra,201,Apul_201,Mahana,Wild,Sperm,1000uL,
20201007,63,A.pulchra,201,Apul_201,Mahana,Wild,Sperm,1000uL,
20201007,64,A.pulchra,201,Apul_201,Mahana,Wild,Sperm,1000uL,
20201007,65,A.pulchra,201,Apul_201,Mahana,Wild,Sperm,1000uL,
20201007,66,A.pulchra,202,Apul_202,Mahana,Wild,Sperm,1000uL,
20201007,67,A.pulchra,202,Apul_202,Mahana,Wild,NA,NA,None left from crosses
20201007,68,A.pulchra,202,Apul_202,Mahana,Wild,NA,NA,None left from crosses
20201007,69,A.pulchra,202,Apul_202,Mahana,Wild,NA,NA,None left from crosses
20201007,70,A.pulchra,202,Apul_202,Mahana,Wild,NA,NA,None left from crosses
20201007,71,A.pulchra,203,Apul_203,Mahana,Wild,NA,NA,None left from crosses
20201007,72,A.pulchra,203,Apul_203,Mahana,Wild,NA,NA,None left from crosses
20201007,73,A.pulchra,203,Apul_203,Mahana,Wild,NA,NA,None left from crosses
20201007,74,A.pulchra,203,Apul_203,Mahana,Wild,NA,NA,None left from crosses
20201007,75,A.pulchra,203,Apul_203,Mahana,Wild,NA,NA,None left from crosses
20201007,76,A.pulchra,241,Apul_241,Mahana,Outplanted,NA,NA,None left from crosses
20201007,77,A.pulchra,241,Apul_241,Mahana,Outplanted,NA,NA,None left from crosses
20201007,78,A.pulchra,241,Apul_241,Mahana,Outplanted,NA,NA,None left from crosses
20201007,79,A.pulchra,241,Apul_241,Mahana,Outplanted,NA,NA,None left from crosses
20201007,80,A.pulchra,241,Apul_241,Mahana,Outplanted,NA,NA,None left from crosses
20201009,253,A.pulchra,76,Apul_76,Mahana,Wild,Eggs,250uL,
20201009,254,A.pulchra,76,Apul_76,Mahana,Wild,Eggs,250uL,
20201009,255,A.pulchra,76,Apul_76,Mahana,Wild,Eggs,250uL,
20201009,256,A.pulchra,204,Apul_204,Mahana,Wild,Eggs,250uL,
